,Brand,Model,Color,Processor,RAM,Battery,Camera,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
0,REDMI,"9i Sport (Metallic Blue, 64 GB)",Metallic Blue,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
1,REDMI,"9i Sport (Coral Green, 64 GB)",Coral Green,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
2,realme,"Narzo 50A (Oxygen Blue, 128 GB)",Oxygen Blue,MediaTek Helio G85 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹13,999",10% off,"₹12,499",4.4,"2,05,217 Ratings & 12,519 Reviews"
3,realme,"Narzo 50A (Oxygen Green, 64 GB)",Oxygen Green,MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹12,999",11% off,"₹11,499",4.4,"2,05,217 Ratings & 12,519 Reviews"
4,REDMI,"9i Sport (Carbon Black, 64 GB)",Carbon Black,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
5,APPLE,"iPhone SE (Red, 64 GB)",Red,A13 Bionic Chip with 3rd Gen Neural Engine Processor,64 GB ROM,5000 mAh Battery,12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,Brand Warranty of 1 Year,"₹39,900",29% off,"₹27,999",4.5,"1,41,420 Ratings & 11,248 Reviews"
6,realme,"8i (Space Black, 128 GB)",Space Black,MediaTek Helio G96 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹17,999",11% off,"₹15,999",4.4,"51,394 Ratings & 3,473 Reviews"
7,realme,"C21Y (Cross Black, 64 GB)",Cross Black,Unisoc T610 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹10,999",4% off,"₹10,499",4.5,"2,09,603 Ratings & 7,865 Reviews"
8,realme,"C21Y (Cross Black, 32 GB)",Cross Black,Unisoc T610 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",5% off,"₹9,499",4.6,"42,648 Ratings & 1,311 Reviews"
9,realme,"C21Y (Cross Blue, 64 GB)",Cross Blue,Unisoc T610 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Polymer Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹10,999",4% off,"₹10,499",4.5,"2,09,603 Ratings & 7,865 Reviews"
10,POCO,"C31 (Shadow Gray, 64 GB)",Shadow Gray,MediaTek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹11,999",25% off,"₹8,999",4.4,"14,597 Ratings & 782 Reviews"
11,realme,"8i (Space Black, 64 GB)",Space Black,MediaTek Helio G96 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Polymer Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹15,999",12% off,"₹13,999",4.5,"1,24,904 Ratings & 7,429 Reviews"
12,POCO,"C31 (Royal Blue, 32 GB)",Royal Blue,MediaTek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Polymer Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹10,999",27% off,"₹7,999",4.4,"13,831 Ratings & 802 Reviews"
13,POCO,"C31 (Shadow Gray, 32 GB)",Shadow Gray,MediaTek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹10,999",27% off,"₹7,999",4.4,"13,831 Ratings & 802 Reviews"
14,realme,"8i (Space Purple, 128 GB)",Space Purple,MediaTek Helio G96 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹17,999",11% off,"₹15,999",4.4,"51,394 Ratings & 3,473 Reviews"
15,MOTOROLA,"G60 (Frosted Champagne, 128 GB)",Frosted Champagne,Qualcomm Snapdragon 732G Processor,6 GB RAM | 128 GB ROM,5000 mAh Battery,108MP + 8MP + 2MP | 32MP Front Camera,17.22 cm (6.78 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹21,999",22% off,"₹16,999",4.2,"78,297 Ratings & 8,004 Reviews"
16,realme,"C11 2021 (Cool Blue, 32 GB)",Cool Blue,Octa-core Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.4,"1,53,727 Ratings & 6,895 Reviews"
17,realme,"C11 2021 (Cool Grey, 32 GB)",Cool Grey,Octa-core Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.4,"1,53,727 Ratings & 6,895 Reviews"
18,realme,"C11 2021 (Cool Blue, 64 GB)",Cool Blue,Octa-core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.3,"1,32,714 Ratings & 7,399 Reviews"
19,realme,"C11 2021 (Cool Grey, 64 GB)",Cool Grey,Octa-core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh LiPo Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.3,"1,32,714 Ratings & 7,399 Reviews"
20,MOTOROLA,"g31 (Baby Blue, 64 GB)",Baby Blue,Mediatek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 8MP + 2MP | 13MP Front Camera,16.43 cm (6.47 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹13,999",7% off,"₹12,999",4.3,"3,423 Ratings & 551 Reviews"
21,realme,"Narzo 50i (Mint Green, 32 GB)",Mint Green,SC9863A Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium ion Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.5,"57,306 Ratings & 1,974 Reviews"
22,realme,"9i (Prism Blue, 64 GB)",Prism Blue,Qualcomm Snapdragon 680 (SM6225) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹15,999",12% off,"₹13,999",4.5,380 Ratings & 37 Reviews
23,realme,"8 (Cyber Silver, 128 GB)",Cyber Silver,MediaTek Helio G95 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹18,999",5% off,"₹17,999",4.4,"78,642 Ratings & 6,917 Reviews"
24,realme,"8 (Cyber Black, 128 GB)",Cyber Black,MediaTek Helio G95 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium ion Battery,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Super AMOLED Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹17,999",5% off,"₹16,999",4.4,"83,477 Ratings & 7,227 Reviews"
25,realme,"9i (Prism Blue, 128 GB)",Prism Blue,Qualcomm Snapdragon 680 (SM6225) Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,999",11% off,"₹15,999",4.4,280 Ratings & 25 Reviews
26,realme,"C21Y (Cross Blue, 32 GB)",Cross Blue,Unisoc T610 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Polymer Battery,13MP + 2MP + 2MP | 5MP Front Camera,Super AMOLED Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",5% off,"₹9,499",4.6,"42,648 Ratings & 1,311 Reviews"
27,REDMI,"9i (Sea Blue, 64 GB)",Sea Blue,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4230 mAh Battery,13MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.3,"5,42,299 Ratings & 32,115 Reviews"
28,OPPO,"A12 (Black, 32 GB)",Black,MediaTek Helio P35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹10,990",9% off,"₹9,990",4.4,"68,931 Ratings & 4,187 Reviews"
29,OPPO,"A12 (Deep Blue, 32 GB)",Deep Blue,MediaTek Helio P35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4230 mAh Battery,13MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹10,990",9% off,"₹9,990",4.4,"68,931 Ratings & 4,187 Reviews"
30,realme,"8 (Cyber Black, 128 GB)",Cyber Black,MediaTek Helio G95 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,15.8 cm (6.22 inch) HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹18,999",5% off,"₹17,999",4.4,"78,642 Ratings & 6,917 Reviews"
31,OPPO,"A12 (Blue, 32 GB)",Blue,MediaTek Helio P35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Brand Warranty for 1 Year,"₹10,990",9% off,"₹9,990",4.4,"68,931 Ratings & 4,187 Reviews"
32,OPPO,"A12 (Flowing Silver, 64 GB)",Flowing Silver,MediaTek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4230 mAh Battery,13MP + 2MP | 5MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,990",8% off,"₹10,990",4.5,"61,757 Ratings & 2,766 Reviews"
33,OPPO,"A12 (Blue, 64 GB)",Blue,MediaTek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,13MP + 2MP | 5MP Front Camera,Super AMOLED Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,990",8% off,"₹10,990",4.5,"61,757 Ratings & 2,766 Reviews"
34,OPPO,"A53s 5G (Crystal Blue, 128 GB)",Crystal Blue,MediaTek Dimensity 700 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4230 mAh Battery,13MP + 2MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Brand Warranty for 1 Year,"₹18,990",15% off,"₹15,990",4.3,"11,918 Ratings & 966 Reviews"
35,OPPO,"A53s 5G (Ink Black, 128 GB)",Ink Black,MediaTek Dimensity 700 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,13MP + 2MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹18,990",15% off,"₹15,990",4.3,"11,918 Ratings & 966 Reviews"
36,realme,"Narzo 50i (Mint Green, 64 GB)",Mint Green,SC9863A Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4230 mAh Battery,8MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.4,"31,711 Ratings & 1,494 Reviews"
37,realme,"Narzo 50i (Carbon Black, 64 GB)",Carbon Black,SC9863A Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.4,"31,711 Ratings & 1,494 Reviews"
38,MOTOROLA,"E7 Power (Tahiti Blue, 64 GB)",Tahiti Blue,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,13MP + 2MP | 5MP Front Camera,Dual-Mode 5G | Ultra Clear Eye Care Display | Side Fingerprint Unlock,"One Year Warranty for Handset, 6 Months for Accessories","₹11,999",25% off,"₹8,999",4.1,"71,587 Ratings & 6,352 Reviews"
39,SAMSUNG,"Galaxy F12 (Sky Blue, 64 GB)",Sky Blue,Exynos 850 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹12,999",11% off,"₹11,499",4.2,"2,01,713 Ratings & 15,889 Reviews"
40,SAMSUNG,"Galaxy F22 (Denim Black, 64 GB)",Denim Black,MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,Dual-Mode 5G | Ultra Clear Eye Care Display | Side Fingerprint Unlock,Brand Warranty for 1 Year,"₹14,999",13% off,"₹12,999",4.3,"44,562 Ratings & 4,301 Reviews"
41,APPLE,"iPhone 12 Mini (Black, 64 GB)",Black,A14 Bionic Chip with Next Generation Neural Engine Processor,64 GB ROM,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,12MP + 12MP | 12MP Front Camera,16.51 cm (6.5 inch) Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹59,900",29% off,"₹41,999",4.5,"84,425 Ratings & 6,768 Reviews"
42,Infinix,"Hot 11S (Green Wave, 64 GB)",Green Wave,MediaTek Helio G88 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording",16.51 cm (6.5 inch) Display,1 Year Domestic Warranty,"₹13,999",25% off,"₹10,499",4.3,"16,992 Ratings & 1,876 Reviews"
43,Infinix,"Hot 10S (95° Black, 64 GB)",95° Black,MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,50MP + 2MP + AI Lens | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,1 Year Domestic Warranty,"₹12,999",23% off,"₹9,999",4.3,"69,294 Ratings & 5,991 Reviews"
44,SAMSUNG,"Galaxy F22 (Denim Black, 64 GB)",Denim Black,MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,48MP + 2MP + AI Lens Camera | 8MP Front Camera,16.55 cm (6.515 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹14,999",13% off,"₹12,999",4.3,"44,562 Ratings & 4,301 Reviews"
45,SAMSUNG,"Galaxy F12 (Sky Blue, 64 GB)",Sky Blue,Exynos 850 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.26 cm (6.4 inch) HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,999",11% off,"₹11,499",4.2,"2,01,713 Ratings & 15,889 Reviews"
46,MOTOROLA,"E7 Power (Tahiti Blue, 64 GB)",Tahiti Blue,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,13.72 cm (5.4 inch) Super Retina XDR Display,1 Year Domestic Warranty,"₹11,999",25% off,"₹8,999",4.1,"71,587 Ratings & 6,352 Reviews"
47,APPLE,"iPhone 12 Mini (Black, 64 GB)",Black,A14 Bionic Chip with Next Generation Neural Engine Processor,64 GB ROM,5000 mAh Li-ion Polymer Battery,13MP + 2MP | 5MP Front Camera,All Screen OLED Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹59,900",29% off,"₹41,999",4.5,"84,425 Ratings & 6,768 Reviews"
48,Infinix,"Hot 11S (Green Wave, 64 GB)",Green Wave,MediaTek Helio G88 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Li-ion Polymer Battery,12MP + 12MP | 12MP Front Camera,17.22 cm (6.78 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,999",25% off,"₹10,499",4.3,"16,992 Ratings & 1,876 Reviews"
49,Infinix,"Hot 10S (Heart Of Ocean, 64 GB)",Heart Of Ocean,MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Lithium-ion Battery,"12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording",17.32 cm (6.82 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹12,999",23% off,"₹9,999",4.3,"69,294 Ratings & 5,991 Reviews"
50,Infinix,"Hot 10S (95° Black, 64 GB)",95° Black,MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Lithium-ion Battery,50MP + 2MP + AI Lens | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,1 Year Domestic Warranty,"₹12,999",23% off,"₹9,999",4.3,"69,294 Ratings & 5,991 Reviews"
51,realme,"C25Y (Glacier Blue, 128 GB)",Glacier Blue,Unisoc T610 Octa Core Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,48MP + 2MP + AI Lens Camera | 8MP Front Camera,16.55 cm (6.515 inch) HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹13,999",14% off,"₹11,999",4.5,"95,319 Ratings & 3,669 Reviews"
52,realme,"C25Y (Metal Grey, 128 GB)",Metal Grey,Unisoc T610 Octa Core Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Li-ion Polymer Battery,48MP + 2MP + AI Lens Camera | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹13,999",14% off,"₹11,999",4.5,"95,319 Ratings & 3,669 Reviews"
53,REDMI,"9i (Midnight Black, 64 GB)",Midnight Black,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Li-ion Polymer Battery,50MP + 2MP + 2MP | 8MP Front Camera,13.72 cm (5.4 inch) Super Retina XDR Display,"One Year Warranty for Handset, 6 Months for Accessories","₹9,999",10% off,"₹8,999",4.3,"5,42,299 Ratings & 32,115 Reviews"
54,POCO,"M3 Pro 5G (Cool Blue, 64 GB)",Cool Blue,MediaTek Dimensity 700 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Li-ion Polymer Battery,50MP + 2MP + 2MP | 8MP Front Camera,All Screen OLED Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹15,999",12% off,"₹13,999",4.3,"25,206 Ratings & 1,961 Reviews"
55,Infinix,"Hot 10S (Morandi Green, 64 GB)",Morandi Green,MediaTek Helio G85 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP Rear Camera | 5MP Front Camera,17.22 cm (6.78 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹13,999",21% off,"₹10,999",4.3,"42,845 Ratings & 3,998 Reviews"
56,realme,"8 5G (Supersonic Blue, 64 GB)",Supersonic Blue,MediaTek Dimensity 700 (MT6833) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,48MP + 2MP + 2MP | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹15,999",3% off,"₹15,499",4.3,"70,587 Ratings & 5,714 Reviews"
57,APPLE,"iPhone 12 (Black, 64 GB)",Black,A14 Bionic Chip with Next Generation Neural Engine Processor,64 GB ROM,5000 mAh Lithium Polymer Battery,48MP + 2MP + AI Lens Camera | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹65,900",19% off,"₹52,999",4.7,"1,56,619 Ratings & 10,717 Reviews"
58,SAMSUNG,"Galaxy F22 (Denim Blue, 64 GB)",Denim Blue,MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Polymer Battery,48MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹14,999",13% off,"₹12,999",4.3,"44,562 Ratings & 4,301 Reviews"
59,Infinix,"Hot 11S (7° Purple, 64 GB)",7° Purple,MediaTek Helio G88 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Li-ion Polymer Battery,12MP + 12MP | 12MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹13,999",25% off,"₹10,499",4.3,"16,992 Ratings & 1,876 Reviews"
60,realme,"C25_Y (Metal Grey, 128 GB)",Metal Grey,Unisoc T618 Processor,4 GB RAM | 128 GB ROM,5000 mAh Battery,"12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording",16.59 cm (6.53 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹13,999",14% off,"₹11,999",4.5,"11,640 Ratings & 550 Reviews"
61,realme,"C25_Y (Metal Grey, 64 GB)",Metal Grey,Unisoc T618 Processor,4 GB RAM | 64 GB ROM,6000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,999",15% off,"₹10,999",4.5,"11,640 Ratings & 550 Reviews"
62,realme,"8 (Cyber Black, 128 GB)",Cyber Black,MediaTek Helio G95 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Li-ion Polymer Battery,50MP + 2MP + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹16,999",5% off,"₹15,999",4.3,"74,531 Ratings & 7,224 Reviews"
63,SAMSUNG,"Galaxy F12 (Sea Green, 64 GB)",Sea Green,Exynos 850 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh LiPo Battery,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹12,999",11% off,"₹11,499",4.2,"2,01,713 Ratings & 15,889 Reviews"
64,Infinix,"Hot 11S (Polar Black, 64 GB)",Polar Black,MediaTek Helio G88 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh LiPo Battery,50MP + 2MP + 2MP | 8MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹13,999",25% off,"₹10,499",4.3,"16,992 Ratings & 1,876 Reviews"
65,realme,"C25_Y (Glacier Blue, 128 GB)",Glacier Blue,Unisoc T618 Processor,4 GB RAM | 128 GB ROM,5000 mAh Battery,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,All Screen OLED Display,1 Year Warranty for Handset and 6 Months for In-box Accessories,"₹13,999",14% off,"₹11,999",4.5,"11,640 Ratings & 550 Reviews"
66,SAMSUNG,"Galaxy F42 5G (Matte Black, 128 GB)",Matte Black,MediaTek Dimensity 700 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,1 Year Warranty for Handset and 6 Months for In-box Accessories,"₹23,999",33% off,"₹15,999",4.1,"5,585 Ratings & 503 Reviews"
