,Brand,Model,Color,Processor,RAM,Battery,Camera,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
355,NaN,NaN,Mint,MediaTek Dimensity 1200 Processor,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,800 mAh3 Li-ion Battery,0.3MP Rear Camera,16.71 cm (6.58 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,NaN,NaN,"₹20,699",4.1,409 Ratings & 46 Reviews
356,LAVA,Gem,Sapphire Blue,MediaTek Dimensity 1200 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,2000 mAh Battery,13MP Rear Camera | 8MP Front Camera,6.1 cm (2.4 inch) QVGA Display,10 Days Warranty,"₹3,945",2% off,"₹3,848",3.7,"1,567 Ratings & 136 Reviews"
357,NaN,NaN,Lake Blue,MediaTek Helio G35 (MT6765G) Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,2500 mAh Battery,64MP + 8MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ AMOLED Display,"One Year Warranty for Handset, 6 Months for Accessories","₹3,888",NaN,"₹3,869",3.7,"1,567 Ratings & 136 Reviews"
358,KARBONN,Jumbo K9,Gradation Purple,MediaTek Helio G95 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4300 mAh Battery,0.3MP Rear Camera,16.54 cm (6.51 inch) HD+ Display,1 Year Warranty,"₹6,245",NaN,"₹6,198",3.9,"1,892 Ratings & 144 Reviews"
359,NaN,NaN,Starry Blue,2.0 GHz Mediatek P22 Octacore Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,5000 mAh Battery,13MP Rear Camera | 8MP Front Camera,15.9 cm (6.26 inch) Full HD Display,1 Year Warranty Provided by the Manufacturer From Date of Purchase,"₹17,990",11% off,"₹15,990",4.3,"2,391 Ratings & 132 Reviews"
360,vivo,"Y53s (Fantastic Rainbow, 128 GB)",Bifrost Blue,MediaTek Dimensity 700 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,1900 mAh Battery,2.4MP Rear Camera,6.1 cm (2.4 inch) Display,1 year Manufacturer's Warranty,NaN,NaN,"₹14,980",4.2,"3,063 Ratings & 225 Reviews"
361,Ismart,IS-101 Ferrari,NaN,Mediatek Helio G35 Processor,32 MB RAM | 32 MB ROM,1 Year Manufacturing Warranty for Mobile and 6 Months Battery Warranty,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1 Year Warranty,NaN,NaN,₹859,3.9,425 Ratings & 29 Reviews
362,NaN,NaN,Purple Mist,MediaTek Dimensity 1200 Processor,4 GB RAM | 64 GB ROM,4300 mAh Battery,64MP + 8MP + 5MP | 20MP Front Camera,16.43 cm (6.47 inch) Full HD+ Display,1 Year Warranty,"₹31,999",15% off,"₹26,999",4.2,"1,389 Ratings & 192 Reviews"
363,Micromax,X413,NaN,Exynos 850 (S5E3830) Processor,128 GB ROM,5000 mAh Lithium-ion Battery,0.8MP Rear Camera,4.5 cm (1.77 inch) Display,1 Year Warranty Provided by the Manufacturer From Date of Purchase,"₹1,089",NaN,"₹1,080",4.1,"24,665 Ratings & 2,001 Reviews"
364,NaN,NaN,Glacier White,MediaTek Helio P35 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4300 mAh Battery,0.3MP Rear Camera,4.5 cm (1.77 Inch) Quarter QVGA Display,1 Year Warranty for Mobile and 6 Months for Accessories,NaN,NaN,"₹16,999",4.3,246 Ratings & 15 Reviews
365,Kechaoda,A26,Midnight,Qualcomm Snapdragon 778G Processor,8 GB RAM | 128 GB ROM,5020 mAh Battery,0.8MP Rear Camera,6.1 cm (2.4 inch) Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹69,900",4% off,"₹66,900",4.6,276 Ratings & 24 Reviews
366,NaN,NaN,Crystal Black,Helio G80 Processor,2 GB RAM | 32 GB ROM,1200 mAh Lithium-ion Battery,1.3MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Warranty for Mobile and 6 Months for Accessories,NaN,NaN,"₹15,989",4.3,"2,391 Ratings & 132 Reviews"
367,Redmi,"9A Sport (Coral Green, 32 GB)",NEO Green,Mediatek Helio P35 (MT6765) Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Battery,0.3MP Rear Camera,16.33 cm (6.43 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹34,999",8% off,"₹31,999",4.4,"11,312 Ratings & 1,607 Reviews"
