,Brand,Model,Processor,RAM,Operating System,Storage,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
391,HP,Spectre x360 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Pro) 13-ap0121TU 2 in 1 Laptop,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,NaN,NaN,"₹1,51,133",NaN,NaN
392,ASUS,ZenBook Classic Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) UX434FL-A5822T...,Intel Core i5 Processor (10th Gen),8 GB LPDDR3 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,NaN,NaN,"₹1,05,990",5,4 Ratings & 0 Reviews
393,Mi,Notebook Horizon Edition 14 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) JYU4...,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,"₹65,999",14% off,"₹56,490",4.2,372 Ratings & 36 Reviews
394,HP,Spectre x360 14 Series Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-ea0538TU Thin and L...,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,NaN,NaN,"₹1,46,194",NaN,NaN
395,acer,Nitro 5 Ryzen 7 Octa Core 5800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),"₹1,19,990",15% off,"₹1,00,990",4.3,159 Ratings & 24 Reviews
396,Lenovo,IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Lapt...,AMD Ryzen 9 Octa Core Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 Inch) Display,1 Year Onsite Warranty,"₹79,690",30% off,"₹54,990",4.5,210 Ratings & 31 Reviews
397,HP,HP Envy Core i5 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics) 14-eb0020TX Thin and Ligh...,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,36.07 cm (14.2 inch) Display,1 Year Onsite Warranty,"₹1,38,366",21% off,"₹1,08,190",NaN,NaN
398,HP,Spectre x360 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Pro) 13-aw0205tu 2 in 1 Laptop,Intel Core i7 Processor (6th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,"₹1,92,977",15% off,"₹1,62,990",3.3,3 Ratings & 1 Reviews
399,HP,Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-du3563TU Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹49,590",15% off,"₹41,990",4.3,511 Ratings & 39 Reviews
400,Lenovo,Ideapad Slim 5 Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) 14 ALC 05 Thin and L...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹85,290",29% off,"₹59,990",4.4,92 Ratings & 7 Reviews
